Ranking,Titles,Release Years,Ratings,Casting,
1,The Shawshank Redemption,1994,9.2,Frank Darabont (dir.); Tim Robbins; Morgan Freeman
2,The Godfather,1972,9.2,Francis Ford Coppola (dir.); Marlon Brando; Al Pacino
3,The Dark Knight,2008,9.0,Christopher Nolan (dir.); Christian Bale; Heath Ledger
4,The Godfather Part II,1974,9.0,Francis Ford Coppola (dir.); Al Pacino; Robert De Niro
5,12 Angry Men,1957,9.0,Sidney Lumet (dir.); Henry Fonda; Lee J. Cobb
6,Schindler's List,1993,8.9,Steven Spielberg (dir.); Liam Neeson; Ralph Fiennes
7,The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson (dir.); Elijah Wood; Viggo Mortensen
8,Pulp Fiction,1994,8.8,Quentin Tarantino (dir.); John Travolta; Uma Thurman
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson (dir.); Elijah Wood; Ian McKellen
10,The Good; the Bad and the Ugly,1966,8.8,Sergio Leone (dir.); Clint Eastwood; Eli Wallach
11,Forrest Gump,1994,8.8,Robert Zemeckis (dir.); Tom Hanks; Robin Wright
12,Fight Club,1999,8.7,David Fincher (dir.); Brad Pitt; Edward Norton
13,The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson (dir.); Elijah Wood; Ian McKellen
14,Inception,2010,8.7,Christopher Nolan (dir.); Leonardo DiCaprio; Joseph Gordon-Levitt
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner (dir.); Mark Hamill; Harrison Ford
16,The Matrix,1999,8.7,Lana Wachowski (dir.); Keanu Reeves; Laurence Fishburne
17,GoodFellas,1990,8.7,Martin Scorsese (dir.); Robert De Niro; Ray Liotta
18,One Flew Over the Cuckoo's Nest,1975,8.6,Milos Forman (dir.); Jack Nicholson; Louise Fletcher
19,Seven,1995,8.6,David Fincher (dir.); Morgan Freeman; Brad Pitt
20,Seven Samurai,1954,8.6,Akira Kurosawa (dir.); Toshirô Mifune; Takashi Shimura
21,It's a Wonderful Life,1946,8.6,Frank Capra (dir.); James Stewart; Donna Reed
22,The Silence of the Lambs,1991,8.6,Jonathan Demme (dir.); Jodie Foster; Anthony Hopkins
23,Saving Private Ryan,1998,8.6,Steven Spielberg (dir.); Tom Hanks; Matt Damon
24,City of God,2002,8.6,Fernando Meirelles (dir.); Alexandre Rodrigues; Leandro Firmino
25,Interstellar,2014,8.6,Christopher Nolan (dir.); Matthew McConaughey; Anne Hathaway
26,Life Is Beautiful,1997,8.6,Roberto Benigni (dir.); Roberto Benigni; Nicoletta Braschi
27,The Green Mile,1999,8.6,Frank Darabont (dir.); Tom Hanks; Michael Clarke Duncan
28,Star Wars,1977,8.5,George Lucas (dir.); Mark Hamill; Harrison Ford
